,uoCodigo,uoNome,uoSigla,programaDetalheId,programaCod,programaNome,programaDenominacao,dePublicoAlvo,deEixoAdministrativo,horizonteTemporal,dataInicio,dataFim,deTipoPrograma,justificativa,anoMonitoramento,quadrimestreMonitoramento,TipoDado,Ano,Quadrimestre
10,02011,Fundo de Desenvolvimento Institucional do Tribunal de Contas do Estado de Rondônia,FDI,1415,1220,GESTÃO DO FUNDO DE DESENVOLVIMENTO INSTITUCIONAL - FDI,"Gestão do Fundo de Desenvolvimento Institucional - FDI, vinculado ao Tribunal de Contas do Estado de Rondônia.",Administração pública em geral,Gestão Estratégica,continuo,2024-01-01T00:00:00,,Gestão Manutenção e Serviço,"São finalidades precípuas do Fundo de Desenvolvimento Institucional criar condições técnicas, materiais e de espaço físico que
promovam o desenvolvimento institucional, o aperfeiçoamento dos instrumentos de gestão, planejamento, administração e controle dos planos e técnicas aprovadas pelo Tribunal de Contas.",2024,1,Programa,2024,1
11,03001,Tribunal de Justiça,TJ,1649,1012,GESTÃO DE PESSOAS E QUALIDADE DE VIDA NO TRABALHO,Gestão de Pessoas e Qualidade de Vida no Trabalho,Magistrados(as) e servidores(as) e estagiários (as) do Poder Judiciário e da administração pública do Estado de Rondônia.,Gestão Estratégica,continuo,2024-01-01T00:00:00,,Gestão Manutenção e Serviço,"O programa ""Gestão de Pessoas, Manutenção de Serviços e Qualidade de Vida no Trabalho"" busca valorizar os(as) magistrados(as), servidores(as) e estagiários(as), humanizar as relações de trabalho, promover a saúde, melhorar as condições de trabalho e a qualidade de vida no ambiente profissional. Essas ações estão alinhadas com o objetivo de melhorar a gestão de pessoas estabelecido na Estratégia 2021-2026 do Poder Judiciário do Estado de Rondônia (PJRO). Ademais, esta SGP desenvolve ações e práticas voltadas ao gerenciamento de pessoas e processos, de modo sustentável, eficiente, com caráter valorativo e proativo. Sendo que, a premente necessidade de otimização dos recursos e a mitigação de desperdícios impõe a necessidade de melhorar a gestão. Deste modo, assegurar a manutenção das atividades administrativas e judiciárias do PJRO implica elevar o padrão de eficiência da gestão dos contratos e serviços, primando pela qualidade, rapidez, precisão e menor custo possível. Os dados obtidos por meio da aplicação da Pesquisa de Clima 2022, evidenciou que, embora o Índice de Favorabilidade Anual tenha atingido 73,46%, alguns pontos demandam ações, a exemplo: >Qualidade de Vida 60% >Reconhecimento Profissional 67% >Benefícios 79% >Comunicação Interna 79% >Imagem Institucional 70% Essas temáticas foram relembradas no Diagnóstico do Programa de Qualidade de Vida no Trabalho do TJRO, o que demonstra a necessidade da continuidade do programa. Com as ações promovidas pelo programa busca-se atingir/manter os indicadores da Estratégia do PJRO 2021-2026, quais sejam: a manutenção do índice de absenteísmo-doença em 2,5%, bem como o atingimento anual do Índice de Favorabilidade do Clima Organizacional superior a 70%. Destaca-se as Resoluções n. 240/2016-CNJ, n. 121/2019-PR, n. 207/2015-CNJ e n. 031/2017-PR, que estabelecem diretrizes e políticas de gestão de pessoas e atenção à saúde no âmbito do Poder Judiciário. Nelas prevalecem a importância de promover ambientes, processos e condições de trabalho saudáveis ​​e conscientizar magistrados e servidores sobre sua responsabilidade nesses aspectos. Ao aprimorar a gestão de pessoas e a qualidade de vida no ambiente de trabalho, obtêm-se benefícios significativos. Dentre eles, destaca-se, o aumento da eficiência dos serviços prestados, promoção de um clima organizacional positivo e a satisfação dos (as) magistrados(as), servidores(as) e estagiários(as) deste PJRO.",2024,1,Programa,2024,1
12,03001,Tribunal de Justiça,TJ,1656,1014,"GESTÃO DAS AÇÕES INERENTES À SEGURANÇA PESSOAL, PATRIMONIAL E DE INTELIGÊNCIA INSTITUCIONAL","Gestão das ações inerentes à segurança pessoal, patrimonial e de inteligência institucional",Magistrados e Servidores do Poder Judiciário de Rondônia									,Gestão Estratégica,continuo,2024-01-01T00:00:00,,Gestão Manutenção e Serviço,"Com efeito, a criminalidade tratada pelo judiciário brasileiro sofreu profunda modificação nos últimos tempos, onde se verifica que são cada vez mais comuns os crimes de base organizativa, compreendendo a corrupção, o tráfico de entorpecentes, pessoas, armas e lavagem de dinheiro.
A alteração do perfil da criminalidade e as várias formas com que ela se manifesta, obriga a adoção de cuidados igualmente diversificados, tanto dos ambientes em que se desenvolvem as atividades jurisdicionadas a ela inerentes, bem como dos agentes públicos nelas envolvidos.
Atento ao contexto apresentado, o Conselho Nacional de Justiça editou a Resolução n. 435, de 28/10/2021 que dispõe sobre a política e o sistema nacional de segurança do Poder Judiciário e dá outras providências, especificamente em seu Capítulo VI "" Das Medidas de Segurança no âmbito dos Conselho e Tribunais"". Nesse sentido, é essencial para a proteção contra depredação, violação, evasão, apropriação indébita e outras ações que redundem em dano ao patrimônio e para assegurar a integridade física dos magistrados, servidores e demais colaboradores no desempenho de suas atividades, e, ainda, daqueles que transitam pelas dependências deste Órgão. Dar a todos os envolvidos na execução das competências incumbidas a este Poder Judiciário a sensação de estarem seguros. Ainda nessa senda, realizar ações da atividade de inteligência destinadas a instrumentalizar o exercício da segurança institucional, produzindo conhecimentos e informações que subsidiem ações, de forma neutralizar e coibir ameaças e atos criminosos na esfera de competência deste Pode Judiciário do Estado de Rondônia. ",2024,1,Programa,2024,1
13,03001,Tribunal de Justiça,TJ,1670,1019,PREVIDÊNCIA SOCIAL ESTATUTÁRIA,Previdência Social Estatutária,Servidores públicos do Estado de Rondônia,Gestão Estratégica,continuo,2024-01-01T00:00:00,,Gestão Manutenção e Serviço,"Assegurar aos servidores públicos do Tribunal de Justiça do Estado e a seus dependentes legais o pagamento de um valor estabelecido em lei, quando da aposentadoria ou do óbito, proporcionando, assim, a certeza da manutenção das condições financeiras da família.",2024,1,Programa,2024,1
14,03001,Tribunal de Justiça,TJ,1683,2065,APRIMORAMENTO DA ESTRUTURA DO PJRO,Aprimoramento da Estrutura do PJRO,"Magistrados, Servidores do Poder Judiciário de Rondônia e jurisdicionados	",Gestão Estratégica,continuo,2024-01-01T00:00:00,,Finalístico,"O programa justifica-se pela importância que possui na dotação de estrutura adequada para que a Instituição tenha condições de cumprir sua missão de prestar serviço jurisdicional. Possuindo unidades prediais distribuídas em parte dos municípios do Estado de Rondônia, o PJRO tem o dever de apresentar unidades prediais adequadas para atendimento dos servidores, magistrados e jurisdicionado. Assim, para esta finalidade o programa contribui na medida em que se presta a realizar reformas nos locais em que prédios do TJRO não tem a estrutura adequada, como espaço, acessibilidade, segurança, mobiliário, dentre outros. O programa também soluciona situações em que as atuais unidades já não atendem a necessidade do TJRO quanto ao tamanho, localidade e disposição, propondo a construção de fóruns modernos e condizentes com a atuação do Tribunal no Estado.",2024,1,Programa,2024,1
15,03011,Fundo de Aperfeiçoamento dos Serviços Judiciários,FUJU,1605,0000,OPERAÇÕES ESPECIAIS,Operações Especiais,"Magistrados, Servidores e jurisdicionados",Gestão Estratégica,continuo,2024-01-01T00:00:00,,Operação Especial,"Necessidade de uniformização das ações administrativas na cobertura de despesas as quais não se pode associar a geração de bem ou serviço, tais como cumprimento de sentenças judiciais, financiamento com retorno, transferências constitucionais, transferências decorrentes de lei específica, outras transferências, serviços da dívida interna, serviços da dívida externa, refinanciamento da dívida interna, refinanciamento da dívida externa, amortizações, encargos, aquisições de títulos, fundos de participação, operações de financiamento, ressarcimento de toda ordem, indenizações, pagamento de inativos e pensionistas, participações acionárias, contribuições a organismos nacionais e internacionais, compensações financeiras e outros encargos especiais.",2024,1,Programa,2024,1
16,03011,Fundo de Aperfeiçoamento dos Serviços Judiciários,FUJU,1634,2073,"GESTÃO, MANUTENÇÃO E SERVIÇOS DO PODER JUDICIÁRIO","Gestão, Manutenção e Serviços do Poder Judiciário","Estagiários(as), jurisdicionados(as), magistrados(as) e servidores(as) do Poder Judiciário do Estado de Rondônia   	",Gestão Estratégica,continuo,2024-01-01T00:00:00,,Gestão Manutenção e Serviço,"Este Programa justifica-se pela necessidade de manutenção das atividades administrativas e judiciárias do PJRO, por meio de serviços, bens/materiais, infraestrutura indispensáveis à continuidade do serviço, prezando pela qualidade, eficiência e celeridade da Justiça de Rondônia.",2024,1,Programa,2024,1
17,03011,Fundo de Aperfeiçoamento dos Serviços Judiciários,FUJU,1635,2065,APRIMORAMENTO DA ESTRUTURA DO PJRO,Aprimoramento da Estrutura do PJRO,"Magistrados, Servidores do Poder Judiciário de Rondônia e jurisdicionados",Gestão Estratégica,continuo,2024-01-01T00:00:00,,Finalístico,"O programa justifica-se pela importância que possui na dotação de estrutura adequada para que a Instituição tenha condições de cumprir sua missão de prestar serviço jurisdicional. Possuindo unidades prediais distribuídas em parte dos municípios do Estado de Rondônia, o PJRO tem o dever de apresentar unidades prediais adequadas para atendimento dos servidores, magistrados e jurisdicionado. Assim, para esta finalidade o programa contribui na medida em que se presta a realizar reformas nos locais em que prédios do TJRO não tem a estrutura adequada, como espaço, acessibilidade, segurança, mobiliário, dentre outros. O programa também soluciona situações em que as atuais unidades já não atendem a necessidade do TJRO quanto ao tamanho, localidade e disposição, propondo a construção de fóruns modernos e condizentes com a atuação do Tribunal no Estado.",2024,1,Programa,2024,1
18,03011,Fundo de Aperfeiçoamento dos Serviços Judiciários,FUJU,1641,2185,POLÍTICA DA PAZ,Política da Paz,População do Estado de Rondônia,Gestão Estratégica,continuo,2024-01-01T00:00:00,,Finalístico,"A implementação do programa Política da Paz, estabelece no âmbito do Poder Judiciário de Rondônia uma ferramenta estratégica para o devido planejamento de ações e iniciativas que tem como objetivo a efetivação do devido acesso à justiça, tratamento adequado dos conflitos de interesses, pacificação social e prevenção de litígios.
Verifica-se ser necessário a concretrização deste programa para: 1) Descontruir Barreiras e resistências para a implementação de Métodos Consensuais de Solução de Conflitos, 2) Dificuldade na tomada de decisões ágeis e eficientes; 3) Sobrecarga na programação das atividades do Nupemec. Estes  problemas dificultam as implementações, os aperfeiçoamentos e a efetividades de soluções consensuais para solução de conflitos desenvolvidas por este Poder Judiciário, uma vez que a existências e a persistências destas virão a colaborar com a cultura do litígio em nossa sociedade, resultando no congestionamento de processos no Poder Judiciário, tornando mais longos e custosos e impactando negativamente na imagem desta instituição em frente à sociedade, pela não efetividade das políticas adotadas.
A implementação do programa visa contornar esse impacto negativo,  com adoção de medidas que melhorem a efetividade das políticas adotadas, decisões com agilidade e eficiência e assegurar recursos para melhorar a capacidade de execução das atividades do Nupemec.
As principais causas que contribuem para causar esta situação são: As barreiras e resistências para a efetivação dos Métodos Consensuais de Solução de Conflitos; Dificuldade na tomada de decisões ágeis e eficientes e Sobrecarga da programação das atividades do Nupemec. Também, a ineficácia dos canais de comunicação comprometem e acabam impactando a comunicação intersetorial e interinstitucional desta Instituição, gerando a adoção de práticas divergentes dos direcionamentos externados pela administração.    
Concernente às estrutura das unidades vinculadas à temática, nos 23 Cejusc's averiguou-se que estas demonstraram estarem insuficientes quanto ao quadro de pessoal, com demanda acima de suas capacidades de atendimento, gerando produtividade abaixo do esperado. 
Com a implementação do programa, esperamos direcionar os esforços do Tribunal de Justiça do Estado de Rondônia para fortalecer os métodos consensuais de solução de conflitos, fomentando a padronização, integração, agilidade, eficiência e mudança cultural na sociedade, promovendo a paz, a justiça e a harmonia social, tornando sua implementação essencial para o aprimoramento do sistema de justiça, atingindo objetivos específicos: 1) Descontruir Barreiras e resistências para a implementação de Métodos Consensuais de Solução de Conflitos, 2) Dificuldade na tomada de decisões ágeis e eficientes; 3) Sobrecarga na programação das atividades do Nupemec.",2024,1,Programa,2024,1
19,03011,Fundo de Aperfeiçoamento dos Serviços Judiciários,FUJU,1643,1017,APRENDIZAGEM ORGANIZACIONAL,Aprendizagem Organizacional,Magistrados(as) e Servidores(as) do Tribunal de Justiça do Estado de Rondônia e dos órgãos jurisdicionados,Gestão Estratégica,continuo,2024-01-01T00:00:00,,Gestão Manutenção e Serviço,"O programa é fundamentado na necessidade de fortalecer o Poder Judiciário e a administração pública do Estado de Rondônia, garantindo a eficiência, eficácia e efetividade das instituições. O incentivo ao desenvolvimento, capacitação e realização de pesquisas, publicações, estudos e projetos de extensão, juntamente com a promoção da formação continuada de magistrados(as) e servidores(as) do PJRO, contribui para aprimorar as competências e habilidades, o que resulta em um serviço público de maior qualidade e maior satisfação da população. Além disso, ao alinhar as ações com a Estratégia do Poder Judiciário de Rondônia, em especial o objetivo 10 e suas respectivas metas estratégicas, garante-se um planejamento adequado e uma atuação voltada para as necessidades reais da sociedade. Isso também favorece a integração e a cooperação entre as diferentes esferas do setor público e a comunidade em geral. Promover iniciativas de extensão e responsabilidade social é fundamental para aproximar o Poder Judiciário e a administração pública da população, facilitando o acesso à justiça e contribuindo para a harmonia social. Essa aproximação permite uma maior compreensão dos direitos e deveres por parte dos cidadãos, o que resulta em um ambiente mais justo e igualitário. Portanto, o objetivo proposto, incluindo a promoção da formação continuada, é crucial para fortalecer o Estado de Rondônia e garantir que o Poder Judiciário e a administração pública atuem de forma eficiente, responsiva e alinhada às demandas da sociedade, promovendo a justiça e a harmonia social.",2024,1,Programa,2024,1
20,03011,Fundo de Aperfeiçoamento dos Serviços Judiciários,FUJU,1644,1031,POLÍTICAS E SERVIÇOS EXTRAJUDICIAIS,Políticas e Serviços Extrajudiciais,População do Estado de Rondônia,Gestão Estratégica,continuo,2024-01-01T00:00:00,,Gestão Manutenção e Serviço,"Os serviços notariais e registrais são prestados por particulares, que recebem delegação do Poder Público, conforme disposto no art. 236 da Constituição Federal do Brasil, os quais devem ser fiscalizados pelo Poder Judiciário, mais precisamente pela atuação direta da Corregedoria Geral de Justiça (CGJ).

Em Rondônia, a Lei Estadual 2.936, de 26 de dezembro de 2012, regulamenta o regimento de custas e emolumentos relativos ao atos dos serviços extrajudiciais. Cabe aos notários e oficiais de registros, a título de remuneração, os emolumentos pelos atos que praticarem.

Parte do valor arrecadado com as custas e selos é destinado ao ressarcimento dos atos gratuitos praticados pelo Tabelionato de Registro Civil, como, por exemplo, o registro e a expedição da primeira certidão de nascimento. Conforme o art. 7°, § 1° da Lei Estadual n. 918, de 20 de setembro de 2000, após o ressarcimento e complementação de renda mínima às serventias que praticam atos do registro civil das pessoas naturais, caso haja sobra de recursos, este será destinado ao FUJU para o desenvolvimento de ações de aprimoramento dos serviços notariais e registrais do Estado, por meio de projetos vinculados à Corregedoria Geral.

Cabe ressaltar que o aperfeiçoamento do Sistema Gerencial do Extrajudicial do Poder Judiciário de Rondônia (Sigextra) deve ser constante, a fim de que sejam cumpridas as normas do Conselho Nacional de Justiça e garantida a eficiência na prestação dos serviços extrajudiciais. Para isso, é necessário que sejam implementados sistemas, ferramentas e tecnologias para a unificação e a proteção de dados, bem como a prestação dos serviços extrajudiciais de forma mais ágil e segura. Além disso, é necessário que haja a edição de legislação específica, complementar e/ou modificativa, em âmbito estadual, visando acompanhar as inovações e atualizações normativas em nível nacional.

Embora haja um ressarcimento mensal e uma complementação de renda mínima para os Registros Civis das Pessoas Naturais (RCPN), há um superávit (sobra) anual que deve ser usado para melhorar a prestação dos serviços extrajudiciais. Para tanto, o programa visa englobar projetos e atividades capazes fomentar a desjudicialização, a desburocratização, a regularização fundiária, a capacitação dos profissionais envolvidos e a transformação digital, entre outras iniciativas.

A capacitação dos (as) delegatários (as), interinos (as), prepostos (as) e servidores (as) da Corregedoria-Geral de Justiça é considerada essencial para garantir a qualidade dos serviços prestados pelas serventias extrajudiciais e reduzir a possibilidade de erros que possam prejudicar a eficiência e segurança jurídica dos atos.

Além disso, a regularização fundiária é vista como uma importante política pública que garante o direito fundamental à moradia e está diretamente ligada a outros direitos sociais previstos na Constituição Federal. Embora a responsabilidade pelo processo de regularização seja do ente municipal, o Poder Judiciário tem o desafio de atuar de forma ativa para garantir a efetivação desse direito e reduzir litígios.

Registre-se, por oportuno, a obrigatoriedade do Poder Judiciário na realização de concurso público, em até 6 (seis) meses, para provimento de serventias vagas, nos moldes dos arts. 15 e 16 da Lei 8.935/1994, de 18 de novembro de 1994, que dispõe o seguinte:

Art. 15. Os concursos serão realizados pelo Poder Judiciário, com a participação, em todas as fases, da Ordem dos Advogados do Brasil, do Ministério Público, de um notário e um registrador.

Art. 16. As vagas serão preenchidas alternadamente, duas terças partes do concurso público de provas e títulos e uma terça parte por meio de remoções reguladas por lei estadual ou do Distrito Federal, homologadas pelo respectivo Tribunal de Justiça, que ocorreram no período anterior à publicação desta Lei.

Por fim, cumpre ressaltar que o programa abrange ações relacionadas às atividades de 111 (cento e onze) serventias extrajudiciais, com impacto nos 52 (cinquenta e dois) municípios de Rondônia.",2024,1,Programa,2024,1
21,03011,Fundo de Aperfeiçoamento dos Serviços Judiciários,FUJU,1646,1018,GESTÃO E SERVIÇOS JUDICIAIS DO 1° GRAU,Gestão e Serviços Judiciais do 1° grau ,"Jurisdicionados, População em Geral; Magistrados (as) e Servidores (as) do 1º Grau de Jurisdição",Gestão Estratégica,continuo,2024-01-01T00:00:00,,Gestão Manutenção e Serviço,"Segundo o Relatório Justiça em Números 2022, produzido pelo Conselho Nacional de Justiça (CNJ), o Tribunal de Justiça de Rondônia (TJRO) é o  mais demandado do país, com a maior quantidade de casos novos por habitante no Brasil.  Com cerca de 15.972 processos novos por habitante, o TJRO enfrenta carga significativa de trabalho, com 1.684 casos por magistrado. Mesmo com a maior produtividade por magistrados entre os tribunais de pequeno porte, com um Índice de Produtividade dos Magistrados (IPM) de 1.863, o TJRO tem o desafio de melhorar o seu Índice de Atendimento à Demanda (IAD), refletindo a capacidade do tribunal em dar vazão ao volume de casos ingressados. Em 2022, o IAD do Judiciário rondoniense foi de 96%, mas alcançou maior capacidade em 2021, com 101,9%.
Esses números demonstram o compromisso e a dedicação dos magistrados do TJRO em lidar com a alta demanda processual e em garantir a prestação jurisdicional eficiente à população de Rondônia. No entanto, é fundamental implementar iniciativas para aperfeiçoar e impulsionar a prestação jurisdicional. A exemplo, embora o tempo médio de tramitação dos processos pendentes e baixados, bem como o tempo médio da inicial até a sentença no segundo grau e primeiro grau, estejam entre os menores tempos de tramitação do país, o TJRO tem a intenção de melhorar ainda mais esses indicadores.
Dentre as melhorias necessárias, destaca-se a simplificação e padronização de procedimentos e modelos, a fim de garantir maior uniformidade e agilidade nos trâmites processuais. É preciso aprimorar o controle da litigância serial e  o gerenciamento dos precedentes, modernizar a Justiça Criminal e aperfeiçoar a transparência dos processos, e fortalecer a comunicação com os jurisdicionados. A integração do sistema PJe com outras plataformas judiciais, como Sisbajud, BNMP e SEEU, dentre outras, é essencial para uma tramitação mais eficiente dos processos. 
O Programa Justiça 4.0 implementado pelo CNJ com a finalidade de impulsionar a transformação digital do Judiciário para garantir serviços mais rápidos, eficazes e acessíveis, é oportunidade que o TJRO pode aproveitar, pois é parceiro do CNJ em uma das principais frentes do programa, a Plataforma Sinapses/Codex, onde atua como desenvolvedor. As soluções digitais colaborativas instadas pelo Programa, automatizam as atividades dos tribunais, otimizam o trabalho dos magistrados, servidores e advogados, e garantem mais produtividade, celeridade, governança e a transparência dos processos. 
O TJRO é reconhecido como um dos melhores tribunais do país, com tradição na modernização e inovação de procedimentos, sistemas e estruturas. É vencedor do Selo Diamante concedido pelo CNJ, pela quarta vez consecutiva em 2022. Suas práticas também são premiadas, tais como os fóruns digitais, laureados com o Prêmio Innovare. Importa à Instituição, manter-se no topo dos tribunais mais eficientes do país, com o propósito maior de garantir justiça mais ágil e eficiente, com foco na transformação dos processos judiciais, ao mesmo tempo em que reforça o compromisso de fortalecer os direitos e garantias individuais dos cidadãos rondonienses.
A execução do presente programa, baseia-se principalmente na necessidade de garantir a eficiência e efetividade do sistema judicial de Rondônia. Portanto, por meio do programa será fortalecido o alinhamento da prestação jurisdicional do 1º Grau de Jurisdição à Estratégia do Poder Judiciário de Rondônia (PJRO), para assegurar que os serviços judiciais estejam em conformidade com os objetivos estratégicos do Tribunal de Justiça e do Conselho Nacional de Justiça, promovendo a efetividade das políticas e diretrizes estabelecidas.
Este alinhamento contribui com o atingimento das Metas Nacionais e outros instrumentos de orientação estabelecidas pelo CNJ, fundamentais para o desempenho e a eficiência do sistema de Justiça em todo o país, demonstrando o compromisso em buscar a excelência na prestação de serviços judiciais.
Para o alcance da excelência desejada, deve ser considerado o embate às ineficiências nos procedimentos judiciais que resultam em uma série de consequências negativas para a prestação jurisdicional, como a morosidade na resolução e a insegurança dos processos judiciais. Portanto, torna-se imprescindível aperfeiçoar as práticas e procedimentos em vista da celeridade, eficiência e qualidade.",2024,1,Programa,2024,1
